device_name,qubit_index,property_name,value,unit,vendor_measured_at,polled_at
ibm_fez,20,readout_error,0.009521484375,,2026-08-30 19:08:35-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,20,init_error,0.004437496010853562,,2026-08-30 17:21:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,20,prob_meas0_prep1,0.01025390625,,2026-08-30 19:07:19-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,20,prob_meas1_prep0,0.0087890625,,2026-08-30 19:07:56-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,20,readout_length,1660.0,ns,2026-08-30 19:08:35-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,21,readout_error,0.0048828125,,2026-08-30 19:08:35-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,21,init_error,0.0016040552621538915,,2026-08-30 17:21:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,21,prob_meas0_prep1,0.0078125,,2026-08-30 19:07:19-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,21,prob_meas1_prep0,0.001953125,,2026-08-30 19:07:56-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,21,readout_length,1660.0,ns,2026-08-30 19:08:35-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,22,readout_error,0.0078125,,2026-08-30 19:08:35-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,22,init_error,0.0012000163678856535,,2026-08-30 17:21:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,22,prob_meas0_prep1,0.009765625,,2026-08-30 19:07:19-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,22,prob_meas1_prep0,0.005859375,,2026-08-30 19:07:57-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,22,readout_length,1660.0,ns,2026-08-30 19:08:35-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,23,readout_error,0.00732421875,,2026-08-30 19:08:35-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,23,init_error,0.0016446114259355768,,2026-08-30 17:21:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,23,prob_meas0_prep1,0.0068359375,,2026-08-30 19:07:19-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,23,prob_meas1_prep0,0.0078125,,2026-08-30 19:07:57-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,23,readout_length,1660.0,ns,2026-08-30 19:08:35-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,24,readout_error,0.0078125,,2026-08-30 19:08:36-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,24,init_error,0.0030050229535617656,,2026-08-30 17:21:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,24,prob_meas0_prep1,0.0068359375,,2026-08-30 19:07:20-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,24,prob_meas1_prep0,0.0087890625,,2026-08-30 19:07:57-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,24,readout_length,1660.0,ns,2026-08-30 19:08:36-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,25,readout_error,0.005615234375,,2026-08-30 19:08:36-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,25,init_error,0.0013515494930657333,,2026-08-30 17:21:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,25,prob_meas0_prep1,0.0078125,,2026-08-30 19:07:20-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,25,prob_meas1_prep0,0.00341796875,,2026-08-30 19:07:57-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,25,readout_length,1660.0,ns,2026-08-30 19:08:36-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,26,readout_error,0.008544921875,,2026-08-30 19:08:36-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,26,init_error,0.00419712533377594,,2026-08-30 17:21:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,26,prob_meas0_prep1,0.0087890625,,2026-08-30 19:07:20-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,26,prob_meas1_prep0,0.00830078125,,2026-08-30 19:07:58-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,26,readout_length,1660.0,ns,2026-08-30 19:08:36-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,27,readout_error,0.009033203125,,2026-08-30 19:08:36-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,27,init_error,0.001472075174869062,,2026-08-30 17:21:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,27,prob_meas0_prep1,0.01708984375,,2026-08-30 19:07:20-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,27,prob_meas1_prep0,0.0009765625,,2026-08-30 19:07:58-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,27,readout_length,1660.0,ns,2026-08-30 19:08:36-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,28,readout_error,0.007080078125,,2026-08-30 19:08:37-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,28,init_error,0.003036530733894204,,2026-08-30 17:21:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,28,prob_meas0_prep1,0.00634765625,,2026-08-30 19:07:20-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,28,prob_meas1_prep0,0.0078125,,2026-08-30 19:07:58-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,28,readout_length,1660.0,ns,2026-08-30 19:08:37-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,29,readout_error,0.006103515625,,2026-08-30 19:08:37-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,29,init_error,0.006597344184794117,,2026-08-30 17:21:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,29,prob_meas0_prep1,0.0068359375,,2026-08-30 19:07:21-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,29,prob_meas1_prep0,0.00537109375,,2026-08-30 19:07:58-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,29,readout_length,1660.0,ns,2026-08-30 19:08:37-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,30,readout_error,0.01318359375,,2026-08-30 19:08:37-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,30,init_error,0.0029738475109490512,,2026-08-30 17:21:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,30,prob_meas0_prep1,0.0146484375,,2026-08-30 19:07:21-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,30,prob_meas1_prep0,0.01171875,,2026-08-30 19:07:59-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,30,readout_length,1660.0,ns,2026-08-30 19:08:37-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,31,readout_error,0.012451171875,,2026-08-30 19:08:37-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,31,init_error,0.019300576855774985,,2026-08-30 14:46:04-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,31,prob_meas0_prep1,0.01904296875,,2026-08-30 19:07:21-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,31,prob_meas1_prep0,0.005859375,,2026-08-30 19:07:59-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,31,readout_length,1660.0,ns,2026-08-30 19:08:37-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,32,readout_error,0.031005859375,,2026-08-30 19:08:38-04:00,2026-08-31T00:06:47.272370+00:00
